"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 05, 2019","0.003857","0.003180","0.004442","0.003165","11.99B","21.30%"
"Jul 04, 2019","0.003180","0.003343","0.003352","0.003176","2.73B","-4.88%"
"Jul 03, 2019","0.003343","0.003163","0.003350","0.003127","2.42B","5.72%"
"Jul 02, 2019","0.003162","0.003268","0.003293","0.003048","3.23B","-3.31%"
"Jul 01, 2019","0.003270","0.003279","0.003335","0.003054","3.13B","-0.27%"
"Jun 30, 2019","0.003279","0.003370","0.003424","0.003263","2.91B","-2.70%"
"Jun 29, 2019","0.003371","0.003415","0.003419","0.003273","2.90B","-1.31%"
"Jun 28, 2019","0.003415","0.003384","0.003562","0.003348","5.31B","0.96%"
"Jun 27, 2019","0.003383","0.003404","0.003648","0.002985","7.29B","-0.51%"
"Jun 26, 2019","0.003400","0.003349","0.003477","0.003273","5.40B","1.51%"
"Jun 25, 2019","0.003349","0.003345","0.003383","0.003286","2.82B","0.16%"
"Jun 24, 2019","0.003344","0.003307","0.003419","0.003248","3.04B","1.01%"
"Jun 23, 2019","0.003310","0.003309","0.003384","0.003258","3.24B","0.00%"
"Jun 22, 2019","0.003310","0.003259","0.003381","0.003088","4.99B","1.55%"
"Jun 21, 2019","0.003259","0.003106","0.003260","0.003097","3.15B","4.94%"
"Jun 20, 2019","0.003106","0.003141","0.003154","0.003081","2.57B","-1.09%"
"Jun 19, 2019","0.003140","0.003107","0.003143","0.003081","2.55B","1.15%"
"Jun 18, 2019","0.003105","0.003191","0.003195","0.003102","3.27B","-2.68%"
"Jun 17, 2019","0.003190","0.003180","0.003226","0.003151","3.27B","0.33%"
"Jun 16, 2019","0.003180","0.003132","0.003271","0.003122","4.14B","1.54%"
"Jun 15, 2019","0.003132","0.003105","0.003160","0.003081","3.61B","0.85%"
"Jun 14, 2019","0.003105","0.003079","0.003108","0.003035","2.97B","0.85%"
"Jun 13, 2019","0.003079","0.003073","0.003092","0.003039","3.18B","0.21%"
"Jun 12, 2019","0.003073","0.003057","0.003083","0.002986","3.15B","0.51%"
"Jun 11, 2019","0.003057","0.003076","0.003085","0.002853","2.59B","-0.55%"
"Jun 10, 2019","0.003074","0.002988","0.003081","0.002965","2.97B","2.88%"
"Jun 09, 2019","0.002988","0.003101","0.003108","0.002872","2.77B","-3.63%"
"Jun 08, 2019","0.003101","0.003148","0.003153","0.002886","2.47B","-1.50%"
"Jun 07, 2019","0.003148","0.003083","0.003153","0.003065","2.71B","2.10%"
"Jun 06, 2019","0.003083","0.003031","0.003087","0.003012","2.88B","1.79%"
"Jun 05, 2019","0.003029","0.002966","0.003098","0.002960","3.10B","2.11%"
"Jun 04, 2019","0.002966","0.003165","0.003187","0.002936","4.77B","-6.29%"
"Jun 03, 2019","0.003165","0.003370","0.003376","0.003165","4.56B","-6.08%"
"Jun 02, 2019","0.003370","0.003351","0.003412","0.003332","3.71B","0.59%"
"Jun 01, 2019","0.003350","0.003401","0.003425","0.003318","4.83B","-1.35%"
"May 31, 2019","0.003396","0.003207","0.003464","0.003138","4.95B","5.95%"
"May 30, 2019","0.003206","0.003166","0.003576","0.003129","7.18B","1.10%"
"May 29, 2019","0.003171","0.003145","0.003199","0.003042","3.44B","0.80%"
"May 28, 2019","0.003146","0.003124","0.003150","0.003085","3.57B","0.69%"
"May 27, 2019","0.003124","0.003047","0.003220","0.003012","5.21B","2.56%"
"May 26, 2019","0.003046","0.002975","0.003058","0.002944","3.33B","2.38%"
"May 25, 2019","0.002975","0.002989","0.003001","0.002937","2.56B","-0.47%"
"May 24, 2019","0.002989","0.002949","0.003015","0.002903","3.23B","1.26%"
"May 23, 2019","0.002952","0.002936","0.002968","0.002828","2.74B","0.67%"
"May 22, 2019","0.002932","0.003032","0.003126","0.002922","2.90B","-3.30%"
"May 21, 2019","0.003032","0.002982","0.003063","0.002954","2.48B","1.91%"
"May 20, 2019","0.002976","0.003132","0.003134","0.002925","3.05B","-4.92%"
"May 19, 2019","0.003130","0.002957","0.003144","0.002956","2.31B","5.81%"
"May 18, 2019","0.002958","0.002915","0.003019","0.002873","2.66B","1.47%"
"May 17, 2019","0.002915","0.003134","0.003151","0.002731","5.03B","-7.03%"
"May 16, 2019","0.003135","0.003336","0.003549","0.003041","6.73B","-5.97%"
"May 15, 2019","0.003334","0.003067","0.003353","0.003038","5.25B","8.48%"
"May 14, 2019","0.003074","0.002728","0.003231","0.002726","5.07B","12.68%"
"May 13, 2019","0.002728","0.002627","0.002785","0.002608","3.57B","3.80%"
"May 12, 2019","0.002628","0.002773","0.002829","0.002592","4.09B","-5.32%"
"May 11, 2019","0.002776","0.002497","0.002841","0.002494","5.19B","11.18%"
"May 10, 2019","0.002496","0.002496","0.002510","0.002466","2.75B","0.00%"
"May 09, 2019","0.002497","0.002554","0.002555","0.002469","2.55B","-2.23%"
"May 08, 2019","0.002554","0.002561","0.002561","0.002520","2.63B","-0.11%"
"May 07, 2019","0.002556","0.002596","0.002681","0.002539","2.76B","-1.50%"
"May 06, 2019","0.002596","0.002643","0.002667","0.002548","2.58B","-1.79%"
"May 05, 2019","0.002643","0.002690","0.002696","0.002638","2.16B","-1.81%"
"May 04, 2019","0.002692","0.002705","0.002804","0.002586","3.16B","-0.51%"
"May 03, 2019","0.002705","0.002601","0.002719","0.002597","3.25B","4.08%"
"May 02, 2019","0.002599","0.002539","0.002617","0.002538","2.87B","2.36%"
"May 01, 2019","0.002539","0.002510","0.002546","0.002496","2.43B","1.18%"
"Apr 30, 2019","0.002510","0.002461","0.002514","0.002442","2.62B","2.01%"
"Apr 29, 2019","0.002461","0.002548","0.002618","0.002452","2.98B","-3.41%"
"Apr 28, 2019","0.002547","0.002511","0.002603","0.002496","2.19B","1.41%"
"Apr 27, 2019","0.002512","0.002509","0.002587","0.002414","2.13B","-0.12%"
"Apr 26, 2019","0.002515","0.002444","0.002527","0.002405","3.43B","2.91%"
"Apr 25, 2019","0.002444","0.002598","0.002612","0.002435","3.43B","-5.92%"
"Apr 24, 2019","0.002598","0.002747","0.002752","0.002523","4.59B","-5.44%"
"Apr 23, 2019","0.002747","0.002772","0.002853","0.002742","3.38B","-0.91%"
"Apr 22, 2019","0.002772","0.002787","0.002810","0.002693","2.85B","-0.53%"
"Apr 21, 2019","0.002787","0.002929","0.002935","0.002738","3.50B","-4.87%"
"Apr 20, 2019","0.002929","0.002888","0.002933","0.002820","2.84B","1.43%"
"Apr 19, 2019","0.002888","0.002952","0.002955","0.002856","3.13B","-2.15%"
"Apr 18, 2019","0.002952","0.002812","0.002988","0.002806","4.60B","5.00%"
"Apr 17, 2019","0.002811","0.002814","0.002857","0.002786","2.46B","-0.10%"
"Apr 16, 2019","0.002814","0.002775","0.002828","0.002729","2.61B","1.36%"
"Apr 15, 2019","0.002776","0.002883","0.002995","0.002732","3.44B","-3.62%"
"Apr 14, 2019","0.002881","0.002869","0.002884","0.002811","2.60B","0.45%"
"Apr 13, 2019","0.002868","0.002840","0.002906","0.002772","3.92B","1.00%"
"Apr 12, 2019","0.002839","0.002768","0.002876","0.002688","4.28B","2.57%"
"Apr 11, 2019","0.002768","0.002965","0.002983","0.002646","5.55B","-6.63%"
"Apr 10, 2019","0.002965","0.002859","0.003098","0.002840","1.31B","3.70%"
"Apr 09, 2019","0.002859","0.002988","0.003001","0.002702","1.87B","-4.33%"
"Apr 08, 2019","0.002988","0.003407","0.003408","0.002901","2.13B","-12.36%"
"Apr 07, 2019","0.003410","0.003367","0.003572","0.003224","2.25B","1.29%"
"Apr 06, 2019","0.003367","0.003551","0.003575","0.003318","1.47B","-5.20%"
"Apr 05, 2019","0.003551","0.003652","0.003749","0.003311","2.15B","-2.77%"
"Apr 04, 2019","0.003652","0.003143","0.004162","0.003102","9.37B","16.20%"
"Apr 03, 2019","0.003143","0.002796","0.003702","0.002780","286.51M","12.41%"
"Apr 02, 2019","0.002796","0.002453","0.002923","0.002374","372.43M","13.99%"
